id,title,author,count,thumbnailUrl
1,Around the Wicket Gate,"Spurgeon, C. H.",2,https://www.gutenberg.org/cache/epub/60669/pg60669.cover.medium.jpg
2,Wild Kindred,"Thompson, Jean M.",2,https://www.gutenberg.org/cache/epub/60659/pg60659.cover.medium.jpg
3,The Pure Observers,"Rogers, B. J.",2,https://www.gutenberg.org/cache/epub/60582/pg60582.cover.medium.jpg
4,Homer: The Iliad,"Collins, W. Lucas",2,https://www.gutenberg.org/cache/epub/59306/pg59306.cover.medium.jpg
5,Ships & Ways of Other Days,"Chatterton, E. Keble",2,https://www.gutenberg.org/cache/epub/60226/pg60226.cover.medium.jpg
6,The Sword of the King,"MacDonald, Ronald",2,https://www.gutenberg.org/cache/epub/59873/pg59873.cover.medium.jpg
7,"St. Augustine, Florida's Colonial Capital","Van Campen, J. T.",2,https://www.gutenberg.org/cache/epub/59484/pg59484.cover.medium.jpg
8,The Dance,"Pavlova, Anna",2,https://www.gutenberg.org/cache/epub/59104/pg59104.cover.medium.jpg
9,The Woman and the Car,"Levitt, Dorothy",2,https://www.gutenberg.org/cache/epub/58956/pg58956.cover.medium.jpg
10,Mariner Mission to Venus,Jet Propulsion Laboratory,2,https://www.gutenberg.org/cache/epub/54585/pg54585.cover.medium.jpg
11,Inventions of the Great War,"Bond, A. Russell",2,https://www.gutenberg.org/cache/epub/45269/pg45269.cover.medium.jpg
12,The Invention of the Sewing Machine,"Cooper, Grace Rogers",2,https://www.gutenberg.org/cache/epub/32677/pg32677.cover.medium.jpg
13,The Introduction of Self-Registering Meteorological Instruments,"Multhauf, Robert P.",2,https://www.gutenberg.org/cache/epub/32482/pg32482.cover.medium.jpg
14,The Civilization of Illiteracy,"Nadin, Mihai",2,https://www.gutenberg.org/cache/epub/2481/pg2481.cover.medium.jpg
15,The Cosmic Computer,"Piper, H. Beam",2,https://www.gutenberg.org/cache/epub/20727/pg20727.cover.medium.jpg
16,The Silicon Jungle,"Rothman, David H.",2,https://www.gutenberg.org/cache/epub/54360/pg54360.cover.medium.jpg
17,The Puzzle King,"Scott, John",2,https://www.gutenberg.org/cache/epub/52052/pg52052.cover.medium.jpg
18,Science in Short Chapters,"Williams, W. Mattieu",2,https://www.gutenberg.org/cache/epub/55626/pg55626.cover.medium.jpg
19,The Molecular Tactics of a Crystal,"William, Baron; Kelvin, Thomson",2,https://www.gutenberg.org/cache/epub/54976/pg54976.cover.medium.jpg
20,"Humorous Readings and Recitations, in Prose and Verse","Wagner, Leopold",2,https://www.gutenberg.org/cache/epub/36775/pg36775.cover.medium.jpg
